Artist,Ethnicity,Gender,Museum,SmallMuseum
Tylonn J. Sawyer,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Mark Delmont,Haitian Jamaican,Male,N'Namdi Contemporary Fine Art,Yes
Senghor Reid,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Rashaun Rucker,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Francks F. Deceus,Haitian,Male,N'Namdi Contemporary Fine Art,Yes
Sephen Arboite,Haitian,Male,N'Namdi Contemporary Fine Art,Yes
Gregory Coates,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Vicente Pimentel,Dominican,Male,N'Namdi Contemporary Fine Art,Yes
Lucy Slivinski,American,Female,N'Namdi Contemporary Fine Art,Yes
Sidney Blu,Nigerian,Male,N'Namdi Contemporary Fine Art,Yes
Cleveland Dean,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Chinemerem Omeh,Nigerian,Male,N'Namdi Contemporary Fine Art,Yes
Maxwell Pearce,African-American,Male,N'Namdi Contemporary Fine Art,Yes
