Name,Nationality,Gender,Museum,SmallMuseum
RachelHarrison,American,Female,Art Institute of Chicago,No
Jonathan Muecke,American,Male,Art Institute of Chicago,No
McArthur Binion,African-American,Male,Art Institute of Chicago,No
Irma Boom,Dutch,Female,Art Institute of Chicago,No
Germane Barnes,African-American,Male,Art Institute of Chicago,No
Eileen Quinlan,American,Female,Art Institute of Chicago,No
Karen Reimer,American,Female,Art Institute of Chicago,No
Sophia Narrett,American,Female,Art Institute of Chicago,No
Nifemi Marcus-Bello,Nigerian,Male,Art Institute of Chicago,No
Himali Singh Soin,Indian,Female,Art Institute of Chicago,No
Margot Bergman,American,Female,Art Institute of Chicago,No
Jennie C. Jones,African-American,Female,Art Institute of Chicago,No
Kai Althoff,German,Male,Art Institute of Chicago,No
Hamanishi Katsunori,Japanese,Male,Art Institute of Chicago,No
Tony Lewis,African-American,Male,Art Institute of Chicago,No
Lawrence Weiner,American,Male,Art Institute of Chicago,No
Philip Pearlstein,American ,Male,Art Institute of Chicago,No
Judith Bernstein,American,Female,Art Institute of Chicago,No
Stanley Whitney,African-American,Male,Art Institute of Chicago,No
Richard Rezac,American,Male,Art Institute of Chicago,No
Gio Swaby,Bahamian,Female,Art Institute of Chicago,No
CameronRowland,African-American,Male,Art Institute of Chicago,No
Reggie Burrows Hodges,African-American,Male,Art Institute of Chicago,No
Aliza Nisenbaum,Mexican,Female,Art Institute of Chicago,No
Rashid Johnson,African-American,Male,Art Institute of Chicago,No
Bethany Collins,African-American,Female,Art Institute of Chicago,No
Patrick Dean Hubbell,Native American,Male,Art Institute of Chicago,No
Julia Fish,American,Female,Art Institute of Chicago,No
Kurt Kauper,American,Male,Art Institute of Chicago,No
James N. Wines,American,Male,Art Institute of Chicago,No
Dave McKenzie,African-American,Male,Art Institute of Chicago,No
Simone Leigh,African-American,Female,Art Institute of Chicago,No
Mounira Al Solh,Lebanese,Female,Art Institute of Chicago,No
Sarah Crowner,American,Female,Art Institute of Chicago,No
Theresa Secord,Native American,Female,Art Institute of Chicago,No
Edgar Heap of Birds,Native American,Male,Art Institute of Chicago,No
Amanda Williams,African-American,Female,Art Institute of Chicago,No
Nicholas Nixon,American,Male,Art Institute of Chicago,No
Christy Matson,American,Female,Art Institute of Chicago,No
Lilian Mary Nabulime,Ugandan,Female,Art Institute of Chicago,No
Tanya Aguiñiga,Mexican-American,Female,Art Institute of Chicago,No
Jeremy Frey,Native American,Male,Art Institute of Chicago,No
Qualeasha Wood,African-American,Female,Art Institute of Chicago,No
Robert Mangold,American,Male,Art Institute of Chicago,No
Christine Sun Kim,American-Korean,Female,Art Institute of Chicago,No
Marwa Arsanios,Lebanese,Female,Art Institute of Chicago,No
Celia Vasquez Yui,Peruvian,Female,Art Institute of Chicago,No
Alvina Yepa,Native American,Female,Art Institute of Chicago,No
Valerie Pourier,Native American,Female,Art Institute of Chicago,No
Kevin Pourier,Native American,Male,Art Institute of Chicago,No
Igshaan Adams,South African,Male,Art Institute of Chicago,No
Jordan Casteel,African-American,Female,Art Institute of Chicago,No
Barbara Kruger,American,Female,Art Institute of Chicago,No
Julia Phillips,German,Female,Art Institute of Chicago,No
Santiago Calatrava,Spanish,Male,Art Institute of Chicago,No
Seong Cheol Kim,South Korean,Male,Art Institute of Chicago,No
