Artist,Year,Nationality,Ethnicity,Gender,Museum,SmallMuseum
Rashid Johnson,2020,African-American,African-American,Male,Storm King Art Center,Yes
Martin Puryear,2023,African-American,African-American,Male,Storm King Art Center,Yes
Alice Aycock,1973/2010,American,White,Female,Storm King Art Center,Yes
David Brooks,2018,Canadian-American,White,Male,Storm King Art Center,Yes
Daniel Buren,1998,French,White,Male,Storm King Art Center,Yes
Peter Coffin,2012,American,White,Male,Storm King Art Center,Yes
Mark Dion,2019,American,White,Male,Storm King Art Center,Yes
Mark di Suvero,2005–11,American,White,Male,Storm King Art Center,Yes
Andy Goldsworthy,2010,English,English,Male,Storm King Art Center,Yes
Ursula von Rydingsvard,2009–10,Polish-Ukrainian,Polish/Ukrainian ,Female,Storm King Art Center,Yes
