Artist,Ethnicity,Nationality,Gender,Museum,Small Museum?
Whitfield Lovell,African-American,African-American,Male,The Phillips Collection,Yes
Markus Lüpertz,German,German,Male,The Phillips Collection,Yes
Linn Meyers,White,American,Female,The Phillips Collection,Yes
Marco Paoli,Italian,Italian,Male,The Phillips Collection,Yes
Jack Boul,White,American,Male,The Phillips Collection,Yes
Angela Bulloch,White,Canadian,Female,The Phillips Collection,Yes
Maria Friberg,Swedish,Swedish,Female,The Phillips Collection,Yes
Valeska Soares,White,Brazilian-American,Female,The Phillips Collection,Yes
James Casebere,White,American,Male,The Phillips Collection,Yes
Jules Olitski,Russian,Russian,Male,The Phillips Collection,Yes
Wolfgang Laib,German,German,Male,The Phillips Collection,Yes
Anna Paola Pizzocaro,Italian,Italian,Female,The Phillips Collection,Yes
Sarah Anne Johnson,White,Canadian,Female,The Phillips Collection,Yes
Sandra Cinto,White,Brazilian,Female,The Phillips Collection,Yes
Maxwell MacKenzie,White,American,Male,The Phillips Collection,Yes
Sijae Byun,South Korean,South Korean,Female,The Phillips Collection,Yes
Joseph Holston,African-American,African-American,Male,The Phillips Collection,Yes
John F. Simon Jr.,White,American,Male,The Phillips Collection,Yes
Alice Adams,White,American,Female,The Phillips Collection,Yes
Siri Berg,Swedish,Swedish,Female,The Phillips Collection,Yes
Emily Berger,White,American,Female,The Phillips Collection,Yes
Susan Bonfils,White,American,Female,The Phillips Collection,Yes
Power Boothe,White,American,Male,The Phillips Collection,Yes
Henry Brown,N/A,American,Male,The Phillips Collection,Yes
Kenneth Bushnell,White,American,Male,The Phillips Collection,Yes
James O. Clark,White,American,Male,The Phillips Collection,Yes
Gabriele Evertz,German,German,Female,The Phillips Collection,Yes
John Goodyear,White,American,Male,The Phillips Collection,Yes
Gail Gregg,White,American,Female,The Phillips Collection,Yes
James Gross,White,American,Male,The Phillips Collection,Yes
Lynne Harlow,White,American,Female,The Phillips Collection,Yes
Mara Held,White,American,Female,The Phillips Collection,Yes
Daniel G. Hill,White,American,Male,The Phillips Collection,Yes
Gilbert Hsiao,Chinese,Chinese,Male,The Phillips Collection,Yes
Phillis Ideal,White,American,Female,The Phillips Collection,Yes
Julian Jackson,White,American,Male,The Phillips Collection,Yes
James Juszczyk,White,American,Male,The Phillips Collection,Yes
Cecily Kahn,White,American,Female,The Phillips Collection,Yes
Bernhard Hildebrandt,German,German,Male,The Phillips Collection,Yes
Jeanne Silverthorne,White,American,Female,The Phillips Collection,Yes
Alyson Shotz,White,American,Female,The Phillips Collection,Yes
Allan deSouza,Kenyan,Kenyan,Male,The Phillips Collection,Yes
Paolo Ventura,Italian,Italian,Male,The Phillips Collection,Yes
Jörg Immendorff,German,German,Male,The Phillips Collection,Yes
Per Kirkeby,Danish,Danish,Male,The Phillips Collection,Yes
Sheila Pye,Canadian,Canadian,Female,The Phillips Collection,Yes
Nicholas Pye,Canadian,Canadian,Male,The Phillips Collection,Yes
Lee Boroson,White,American,Male,The Phillips Collection,Yes
Annabel Daou,Lebanese,Lebanese,Female,The Phillips Collection,Yes
F. Holland Day,White,American,Male,The Phillips Collection,Yes
Brian Dailey,White,American,Male,The Phillips Collection,Yes
Kara Walker,African-American,African-American,Female,The Phillips Collection,Yes
Ralph Gibson,White,American,Male,The Phillips Collection,Yes
Jungjin Lee,South Korean,South Korean,Female,The Phillips Collection,Yes
Stephen Talasnik,White,American,Male,The Phillips Collection,Yes
Jake Berthot,White,American,Male,The Phillips Collection,Yes
Sharon Core,White,American,Female,The Phillips Collection,Yes
Enrique Martínez Celaya,Cuban,Cuban,Male,The Phillips Collection,Yes
Dean Kessmann,White,American,Male,The Phillips Collection,Yes
Karel Appel,Dutch ,Dutch ,Male,The Phillips Collection,Yes
McArthur Binion,African-American,African-American,Male,The Phillips Collection,Yes
Paul Reed,White,American,Male,The Phillips Collection,Yes
Helen C. Frederick,White,American,Female,The Phillips Collection,Yes
Kate Shepherd,White,American,Female,The Phillips Collection,Yes
Bettina Pousttchi,German,German,Female,The Phillips Collection,Yes
Jonathan Lasker,White,American,Male,The Phillips Collection,Yes
Kathy Muehlemann,White,American,Female,The Phillips Collection,Yes
Renée Stout,African-American,African-American,Female,The Phillips Collection,Yes
Val Lewton,White,American,Male,The Phillips Collection,Yes
