Artist,Museum,Gender,Ethnicity,Location,Year
Kikugawa Eishin (Hideyoshi),Art Institute of Chicago,,asian,Asia and the Pacific,
Gordon C. Abbott,Art Institute of Chicago,man,white,North America,1880.0
Sigmund Abeles,Art Institute of Chicago,man,white,North America,1930.0
Albrecht Adam,Art Institute of Chicago,man,white,Europe,1790.0
Architects David Adler,Art Institute of Chicago,man,white,,1880.0
Vargi A. Aivazian,Art Institute of Chicago,man,white,Europe,1910.0
Cherubino Alberti,Art Institute of Chicago,man,,,1550.0
Rudolf von Alt,Art Institute of Chicago,man,white,Europe,1810.0
Emilio Amero,Art Institute of Chicago,man,hispanic,Latin America and the Caribbean,1900.0
Anna Kirstine Ancher,Art Institute of Chicago,woman,white,Europe,1860.0
Master Alejo (Alejo AndA-a?),Art Institute of Chicago,,,,1480.0
JirA- Anderle,Art Institute of Chicago,,,,
Appert,Art Institute of Chicago,,white,Europe,
Humberto Aquino,Art Institute of Chicago,man,hispanic,Latin America and the Caribbean,1950.0
ShA>saku Arakawa,Art Institute of Chicago,man,asian,Asia and the Pacific,1940.0
Luis Arenal,Art Institute of Chicago,man,hispanic,Latin America and the Caribbean,1910.0
Spinello Aretino,Art Institute of Chicago,man,white,Europe,1350.0
Siah Armajani,Art Institute of Chicago,man,other,,1940.0
Charles Arnoldi,Art Institute of Chicago,man,white,North America,1950.0
Richard Artschwager,Art Institute of Chicago,man,white,North America,1920.0
Norio Aruma,Art Institute of Chicago,man,asian,Asia and the Pacific,1930.0
Aubin,Art Institute of Chicago,man,white,Europe,1720.0
Master C B,Art Institute of Chicago,man,white,Europe,1500.0
Gottfried BA?hm,Art Institute of Chicago,man,white,,
Ludolph BA?sinck,Art Institute of Chicago,man,white,Europe,1600.0
Lutz Bacher,Art Institute of Chicago,woman,white,North America,
Dirk Bakker,Art Institute of Chicago,man,,,
Tsuchida Bakusen,Art Institute of Chicago,man,asian,Asia and the Pacific,1890.0
Baccio Baldini,Art Institute of Chicago,man,white,Europe,1440.0
Edouard Denis Baldus,Art Institute of Chicago,man,white,Europe,1810.0
George Grey Barnard,Art Institute of Chicago,man,white,North America,1860.0
George N. Barnard,Art Institute of Chicago,man,white,North America,1820.0
Frederick H. Baumann,Art Institute of Chicago,man,white,North America,1830.0
Charles Joseph Beauverie,Art Institute of Chicago,man,white,Europe,1840.0
Fred Beckman,Art Institute of Chicago,man,white,North America,1930.0
William H. Bell,Art Institute of Chicago,man,white,Europe,1830.0
Filippo Bellini,Art Institute of Chicago,man,white,Europe,1550.0
Richard Bentley,Art Institute of Chicago,,,,
Joseph Antoine Bernard,Art Institute of Chicago,,white,Europe,1870.0
NiccolA2 Berrettoni,Art Institute of Chicago,man,white,Europe,1640.0
Thomas Birch,Art Institute of Chicago,man,white,Europe,1780.0
Bartolomeo Biscaino,Art Institute of Chicago,man,white,Europe,1630.0
William Blake,Art Institute of Chicago,man,white,Europe,1760.0
Claude Bogratchew,Art Institute of Chicago,man,white,Europe,1940.0
Ilya Bolotowsky,Art Institute of Chicago,man,white,Europe,1910.0
Guglielmo Borremans,Art Institute of Chicago,man,white,Europe,1670.0
Michael E. Boruch,Art Institute of Chicago,man,white,North America,1950.0
VA!clav BostA-k,Art Institute of Chicago,man,white,Europe,1910.0
Boudry,Art Institute of Chicago,,white,Europe,
